ID,PLATFORM,BOT,BROWSER,DIST
1207,Mac OS,False,Safari,
1208,iOS,False,Safari,iPhone
1209,Android,False,Chrome,Android
1210,iOS,False,Safari,iPhone
1211,Windows,False,Chrome,
1212,Windows,False,Chrome,
1213,Windows,False,Chrome,
1214,iOS,False,,IPad
1215,iOS,False,,iPhone
1216,Windows,False,Chrome,
1217,Windows,False,Chrome,
1218,iOS,False,Safari,iPhone
1219,Windows,False,Chrome,
1220,Mac OS,False,Chrome,
1221,Windows,False,Chrome,
1222,Windows,False,ChromiumEdge,
1223,iOS,False,Safari,iPhone
1224,iOS,False,Safari,iPhone
1225,Windows,False,Chrome,
1226,Linux,False,Chrome,
1227,Android,False,Chrome,Android
1228,Mac OS,False,Chrome,
1229,iOS,False,,iPhone
1230,Mac OS,False,Safari,
1231, ChromeOS,False,Chrome,
1232,Windows,False,ChromiumEdge,
1233,Windows,False,Chrome,
1234,Windows,False,Chrome,
1235,iOS,False,Safari,iPhone
1236,Windows,False,Chrome,
1238,Windows,False,Chrome,
1239,iOS,False,Safari,iPhone
1240, ChromeOS,False,Chrome,
1241, ChromeOS,False,Chrome,
1242,iOS,False,Safari,iPhone
1243,Windows,False,Chrome,
1244,Mac OS,False,Safari,
1245,Android,False,Chrome,Android
1246,iOS,False,Safari,iPhone
1247,Windows,False,Chrome,
1248,Windows,False,Chrome,
1249,Android,False,Chrome,Android
1250,Mac OS,False,Safari,
1254,iOS,False,,iPhone
1255,Windows,False,ChromiumEdge,
1257,iOS,False,,IPad
1258,Windows,False,ChromiumEdge,
1259,iOS,False,,iPhone
1260,Windows,False,Chrome,
1261,Windows,False,Chrome,
1262,Mac OS,False,Safari,
1263,iOS,False,Safari,iPhone
1264,iOS,False,Safari,iPhone
1265,Mac OS,False,Chrome,
1266,Windows,False,Chrome,
1267,Mac OS,False,Safari,
1268,Windows,False,ChromiumEdge,
1270,Mac OS,False,Chrome,
1271,Windows,False,ChromiumEdge,
1272, ChromeOS,False,Chrome,
1273,Windows,False,ChromiumEdge,
1274,iOS,False,Safari,iPhone
1275,Windows,False,Chrome,
1276,Windows,False,ChromiumEdge,
1277,iOS,False,Safari,iPhone
1278,Android,False,Chrome,Android
1279,Windows,False,Chrome,
1280,Android,False,Chrome,Android
1281,Windows,False,Chrome,
1282,iOS,False,Safari,iPhone
1283,Windows,False,Chrome,
1284,Windows,False,Chrome,
1285,iOS,False,Safari,IPad
1286,Mac OS,False,Safari,
1287,Mac OS,False,Firefox,
1288,iOS,False,,IPad
1289,Windows,False,ChromiumEdge,
1290,Windows,False,ChromiumEdge,
1291,Windows,False,Chrome,
1292,iOS,False,Safari,IPad
1293,Windows,False,Chrome,
1294,Windows,False,Chrome,
1295,Mac OS,False,Safari,
1296,Android,False,Chrome,Android
1297,Windows,False,Chrome,
1298,Android,False,Chrome,Android
1299,Windows,False,Chrome,
1300,Mac OS,False,Safari,
1301,Mac OS,False,Chrome,
1303,Windows,False,Chrome,
1304,Windows,False,Chrome,
1305,Windows,False,Chrome,
1306,Windows,False,Chrome,
1307,Android,False,Chrome,Android
1308,Windows,False,Chrome,
1309,iOS,False,Safari,iPhone
1310,iOS,False,,iPhone
1311,Windows,False,Chrome,
1312,Android,False,Chrome,Android
1313,Android,False,Chrome,Android
1314,Windows,False,Chrome,
1315,Windows,False,ChromiumEdge,
1316,Mac OS,False,Chrome,
1317,Windows,False,Firefox,
1318,Windows,False,Chrome,
1319,Windows,False,Chrome,
1320,Windows,False,Chrome,
1321,Windows,False,Firefox,
1322,Windows,False,Chrome,
1323,Windows,False,ChromiumEdge,
1324,Windows,False,Chrome,
1325,Windows,False,Chrome,
1326,Windows,False,Firefox,
1327,Mac OS,False,Safari,
1328,Windows,False,ChromiumEdge,
1329,Linux,False,Chrome,
1330,Windows,False,Chrome,
1331,Android,False,Chrome,Android
1332, ChromeOS,False,Chrome,
1334,Android,False,Chrome,Android
1335,iOS,False,Safari,iPhone
1336,Windows,False,Chrome,
1337,Windows,False,Chrome,
1338,iOS,False,,IPad
1339,Windows,False,Chrome,
1340,Windows,False,Chrome,
1341,iOS,False,Safari,iPhone
1342,Windows,False,Chrome,
1343,Mac OS,False,Safari,
1344,Android,False,Chrome,Android
1345,Mac OS,False,Chrome,
1346,Mac OS,False,Firefox,
1347,Windows,False,Firefox,
1348,Windows,False,Chrome,
1349,Mac OS,False,Safari,
1350,Windows,False,ChromiumEdge,
1351,Windows,False,Firefox,
1352,iOS,False,Safari,iPhone
1353,Windows,False,Chrome,
1354,iOS,False,,IPad
1355,iOS,False,Safari,iPhone
1356,iOS,False,Safari,iPhone
1357,iOS,False,Safari,iPhone
1358,Android,False,Chrome,Android
1359,Windows,False,ChromiumEdge,
1360,iOS,False,Safari,iPhone
1361,iOS,False,,iPhone
1362,iOS,False,Safari,iPhone
1363,iOS,False,Safari,iPhone
1364,iOS,False,Safari,iPhone
1365,iOS,False,Safari,iPhone
1366,Windows,False,Firefox,
1367,Android,False,Chrome,Android
1368,Windows,False,Chrome,
1369,Windows,False,Chrome,
1371,iOS,False,ChromeiOS,iPhone
1372,iOS,False,Safari,iPhone
1373,Windows,False,Chrome,
1374,iOS,False,Safari,iPhone
1375,iOS,False,Safari,iPhone
1376,iOS,False,Safari,iPhone
1377,Windows,False,Chrome,
1378,iOS,False,Safari,iPhone
1379,Mac OS,False,Safari,
1380,Mac OS,False,Chrome,
1381,Windows,False,Chrome,
1382,Windows,False,Chrome,
1383,iOS,False,Safari,iPhone
1384,Windows,False,Chrome,
1385,Android,False,Chrome,Android
1386,iOS,False,,IPad
1387,Mac OS,False,Chrome,
1388,iOS,False,Safari,IPad
1389,Windows,False,Chrome,
1390,iOS,False,Safari,iPhone
1391,Windows,False,ChromiumEdge,
1392,Mac OS,False,Safari,
1393,Windows,False,Chrome,
1394,iOS,False,Safari,iPhone
1395,iOS,False,Safari,iPhone
1396,Windows,False,Chrome,
1397,Windows,False,ChromiumEdge,
1398,iOS,False,Safari,iPhone
1399,Android,False,Chrome,Android
1400,Windows,False,Chrome,
1401,Mac OS,False,Chrome,
1402,Mac OS,False,Chrome,
1403,iOS,False,Safari,iPhone
1404,iOS,False,Safari,iPhone
1405, ChromeOS,False,Chrome,
1406,iOS,False,Safari,iPhone
1407,Windows,False,ChromiumEdge,
1408,Windows,False,ChromiumEdge,
1409,iOS,False,Safari,iPhone
1410,Windows,False,Chrome,
1411,Mac OS,False,Safari,
1412,iOS,False,Safari,iPhone
1413,iOS,False,Safari,iPhone
1414,Mac OS,False,Safari,
1415,Android,False,Chrome,Android
1416,iOS,False,Safari,iPhone
1417,Mac OS,False,Safari,
1418,Windows,False,Chrome,
1419,Mac OS,False,Chrome,
1420,Windows,False,Chrome,
1421,Android,False,Chrome,Android
1422,Windows,False,Chrome,
1423,Windows,False,MSEdge,
1424,Windows,False,Chrome,
1425,Mac OS,False,Safari,
1426,Linux,False,Chrome,
1427,iOS,False,Safari,iPhone
1428,Mac OS,False,Chrome,
1429,Windows,False,Chrome,
1430,Windows,False,Chrome,
1431,iOS,False,Safari,iPhone
1432,Windows,False,Chrome,
1433,Windows,False,Chrome,
1434,Windows,False,ChromiumEdge,
1435,Android,False,Chrome,Android
1436,Mac OS,False,Chrome,
1437,Windows,False,Chrome,
1438,Mac OS,False,Safari,
1439,Windows,False,Chrome,
1440,Android,False,Chrome,Android
1441,Windows,False,Chrome,
1443,Windows,False,Chrome,
1444,Mac OS,False,Safari,
1445,Mac OS,False,Safari,
1446,iOS,False,Safari,iPhone
1447,Windows,False,Firefox,
1448,Mac OS,False,Safari,
1449,iOS,False,,IPad
1450,Windows,False,ChromiumEdge,
1451,Mac OS,False,Safari,
1452,Windows,False,Chrome,
1453,Windows,False,Chrome,
1454,Windows,False,MSEdge,
1455,iOS,False,Safari,iPhone
1456,Mac OS,False,Safari,
1457,Windows,False,Chrome,
1458,Windows,False,ChromiumEdge,
1459,Windows,False,Chrome,
1460,Mac OS,False,Safari,
1461,iOS,False,Safari,iPhone
1462,iOS,False,Safari,iPhone
1463,iOS,False,Safari,iPhone
1464,Windows,False,ChromiumEdge,
1465,Android,False,Chrome,Android
1466,Android,False,Chrome,Android
